date,datetime,cash_type,card,money,coffee_name
3/1/24,3/1/24 10:15,card,ANON-0000-0000-0001,38.7,Latte
3/1/24,3/1/24 12:19,card,ANON-0000-0000-0002,38.7,Hot Chocolate
3/1/24,3/1/24 12:20,card,ANON-0000-0000-0002,38.7,Hot Chocolate
3/1/24,3/1/24 13:46,card,ANON-0000-0000-0003,28.9,Americano
3/1/24,3/1/24 13:48,card,ANON-0000-0000-0004,38.7,Latte
3/1/24,3/1/24 15:39,card,ANON-0000-0000-0005,33.8,Americano with Milk
3/1/24,3/1/24 16:19,card,ANON-0000-0000-0006,38.7,Hot Chocolate
3/1/24,3/1/24 18:39,card,ANON-0000-0000-0007,33.8,Americano with Milk
3/1/24,3/1/24 19:22,card,ANON-0000-0000-0008,38.7,Cocoa
3/1/24,3/1/24 19:23,card,ANON-0000-0000-0008,33.8,Americano with Milk
3/1/24,3/1/24 19:29,card,ANON-0000-0000-0009,33.8,Americano with Milk
3/2/24,3/2/24 10:22,card,ANON-0000-0000-0010,28.9,Americano
3/2/24,3/2/24 10:30,cash,,40,Latte
3/2/24,3/2/24 10:41,card,ANON-0000-0000-0011,33.8,Americano with Milk
3/2/24,3/2/24 11:59,card,ANON-0000-0000-0012,33.8,Americano with Milk
3/2/24,3/2/24 14:38,card,ANON-0000-0000-0013,28.9,Americano
3/2/24,3/2/24 16:37,card,ANON-0000-0000-0014,33.8,Americano with Milk
3/2/24,3/2/24 17:34,card,ANON-0000-0000-0004,28.9,Americano
3/3/24,3/3/24 10:10,cash,,40,Latte
3/3/24,3/3/24 10:27,card,ANON-0000-0000-0015,38.7,Latte
3/3/24,3/3/24 11:33,card,ANON-0000-0000-0016,28.9,Cortado
3/3/24,3/3/24 12:26,card,ANON-0000-0000-0012,28.9,Americano
3/3/24,3/3/24 13:09,card,ANON-0000-0000-0017,38.7,Hot Chocolate
3/3/24,3/3/24 17:06,card,ANON-0000-0000-0018,38.7,Cocoa
3/3/24,3/3/24 17:08,card,ANON-0000-0000-0019,28.9,Cortado
3/3/24,3/3/24 18:03,card,ANON-0000-0000-0020,33.8,Americano with Milk
3/3/24,3/3/24 18:04,card,ANON-0000-0000-0020,33.8,Americano with Milk
3/3/24,3/3/24 18:08,card,ANON-0000-0000-0020,38.7,Hot Chocolate
3/4/24,3/4/24 10:03,card,ANON-0000-0000-0001,38.7,Latte
3/4/24,3/4/24 10:54,card,ANON-0000-0000-0021,38.7,Latte
3/4/24,3/4/24 11:05,card,ANON-0000-0000-0012,33.8,Americano with Milk
3/4/24,3/4/24 14:04,card,ANON-0000-0000-0022,24,Espresso
3/5/24,3/5/24 9:59,card,ANON-0000-0000-0001,38.7,Latte
3/5/24,3/5/24 14:34,card,ANON-0000-0000-0023,38.7,Latte
3/5/24,3/5/24 17:34,card,ANON-0000-0000-0024,38.7,Latte
3/5/24,3/5/24 17:35,card,ANON-0000-0000-0025,38.7,Hot Chocolate
